,Year,Physics,Chemistry,Physiologyor Medicine,Literature,Peace,Economics(The Sveriges Riksbank Prize)
93,1995,Martin Lewis Perl;Frederick Reines,Paul J. Crutzen;Mario J. Molina;Frank Sherwood Rowland,Edward B. Lewis;Christiane Nüsslein-Volhard;Eric F. Wieschaus,Seamus Heaney,Joseph Rotblat;Pugwash Conferences on Science and World Affairs,"Robert Lucas, Jr."
94,1996,David Lee;Douglas Osheroff;Robert Coleman Richardson,Robert F. Curl Jr.;Harry Kroto;Richard Smalley,Peter C. Doherty;Rolf M. Zinkernagel,Wisława Szymborska,Carlos Filipe Ximenes Belo;José Ramos-Horta,James Mirrlees;William Vickrey
95,1997,Steven Chu;Claude Cohen-Tannoudji;William Daniel Phillips,Paul D. Boyer;John E. Walker;Jens Christian Skou,Stanley B. Prusiner,Dario Fo,International Campaign to Ban Landmines;Jody Williams,Robert C. Merton;Myron Scholes
96,1998,Robert B. Laughlin;Horst Ludwig Störmer;Daniel C. Tsui,Walter Kohn;John Pople,Robert F. Furchgott;Louis Ignarro;Ferid Murad,José Saramago,John Hume;David Trimble,Amartya Sen
97,1999,Gerard 't Hooft;Martinus J. G. Veltman,Ahmed Zewail,Günter Blobel,Günter Grass,Médecins Sans Frontières,Robert Mundell
98,2000,Zhores Alferov;Herbert Kroemer;Jack Kilby,Alan J. Heeger;Alan MacDiarmid;Hideki Shirakawa,Arvid Carlsson;Paul Greengard;Eric Kandel,Gao Xingjian,Kim Dae-jung,James Heckman;Daniel McFadden
99,2001,Eric Allin Cornell;Wolfgang Ketterle;Carl Wieman,William Standish Knowles;Ryōji Noyori;Karl Barry Sharpless,Leland H. Hartwell;Tim Hunt;Paul Nurse,V. S. Naipaul,United Nations;Kofi Annan,George Akerlof;Michael Spence;Joseph Stiglitz
100,2002,"Raymond Davis, Jr.;Masatoshi Koshiba;Riccardo Giacconi",John Fenn;Koichi Tanaka;Kurt Wüthrich,Sydney Brenner;H. Robert Horvitz;John Sulston,Imre Kertész,Jimmy Carter,Daniel Kahneman;Vernon L. Smith
101,2003,Alexei Alexeyevich Abrikosov;Vitaly Ginzburg;Anthony James Leggett,Peter Agre;Roderick MacKinnon,Paul Lauterbur;Peter Mansfield,J. M. Coetzee,Shirin Ebadi,Robert F. Engle;Clive Granger
102,2004,David Gross;Hugh David Politzer;Frank Wilczek,Aaron Ciechanover;Avram Hershko;Irwin Rose,Richard Axel;Linda B. Buck,Elfriede Jelinek,Wangari Maathai,Finn E. Kydland;Edward C. Prescott
